# Kpath    Energy-Level (in eV)
# Band    1
       0.42777     -13.96313
       0.44488     -13.93487
       0.46199     -13.90587
       0.47910     -13.87620
       0.49621     -13.84596
       0.51332     -13.81519
       0.53043     -13.78405
       0.54755     -13.75261
       0.56466     -13.72098
       0.58177     -13.68933
       0.59888     -13.65778
       0.61599     -13.62656
       0.63310     -13.59586
       0.65021     -13.56593
       0.66732     -13.53698
       0.68443     -13.50931
       0.70154     -13.48322
       0.71865     -13.45905
       0.73576     -13.43713
       0.75287     -13.41781
       0.76999     -13.40143
       0.78710     -13.38832
       0.80421     -13.37874
       0.82132     -13.37290
       0.83843     -13.37098
       0.83843     -13.37098
       0.85267     -13.37552
       0.86691     -13.38908
       0.88115     -13.41120
       0.89539     -13.44125
       0.90963     -13.47835
       0.92387     -13.52167
       0.93811     -13.57033
       0.95236     -13.62354
       0.96660     -13.68054
       0.98084     -13.74064
       0.99508     -13.80333
       1.00932     -13.86811
       1.02356     -13.93451
       1.03780     -14.00221
       1.05204     -14.07094
       1.06628     -14.14041
       1.08052     -14.21041
       1.09476     -14.28078
       1.10901     -14.35132
       1.12325     -14.42195
       1.13749     -14.49250
       1.15173     -14.56289
       1.16597     -14.63301
       1.18021     -14.70282
       1.19445     -14.77224
       1.20869     -14.84117
       1.22293     -14.90962
       1.23717     -14.97753
       1.25141     -15.04485
       1.26565     -15.11152
       1.27990     -15.17752
       1.29414     -15.24283
       1.30838     -15.30739
       1.32262     -15.37120
       1.33686     -15.43424
       1.35110     -15.49646
       1.36534     -15.55784
       1.37958     -15.61831
       1.39382     -15.67792
       1.40806     -15.73660
       1.42230     -15.79429
       1.43655     -15.85093
       1.45079     -15.90644
       1.46503     -15.96065
       1.47927     -16.01329
       1.49351     -16.06375
       1.50775     -16.11054
       1.52199     -16.14919
       1.53623     -16.16651
       1.53623     -16.16651
       1.55849     -16.14985
       1.58075     -16.11114
       1.60302     -16.06249
       1.62528     -16.00856
       1.64754     -15.95114
       1.66980     -15.89115
       1.69206     -15.82914
       1.71432     -15.76554
       1.73659     -15.70066
       1.75885     -15.63476
       1.78111     -15.56805
       1.80337     -15.50072
       1.82563     -15.43292
       1.84789     -15.36480
       1.87016     -15.29648
       1.89242     -15.22805
       1.91468     -15.15965
       1.93694     -15.09137
       1.95920     -15.02330
       1.98146     -14.95557
       2.00373     -14.88833
       2.02599     -14.82168
       2.04825     -14.75583
       2.07051     -14.69102
       2.09277     -14.62747
       2.11503     -14.56547
       2.13730     -14.50539
       2.15956     -14.44759
       2.18182     -14.39259
       2.20408     -14.34087
       2.22634     -14.29301
       2.24860     -14.24965
       2.27087     -14.21147
       2.29313     -14.17911
       2.31539     -14.15321
       2.33765     -14.13435
       2.35991     -14.12289
       2.38217     -14.11905
